"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","481","Test Case #3 | Login with the user invalid login and the valid password","","Wed Jan 29 20:57:04 GMT 2025","passed","Wed Jan 29 20:57:05 GMT 2025","","Login Page tests suite","",""
"","2074","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""","","Wed Jan 29 20:57:02 GMT 2025","passed","Wed Jan 29 20:57:04 GMT 2025","","Inventory Page tests suite","",""
"","2021","Test Case #7 | Checking footer Twitter icon & link","","Wed Jan 29 20:57:06 GMT 2025","passed","Wed Jan 29 20:57:08 GMT 2025","","Inventory Page tests suite","",""
"","1527","Test Case #7 | Checking footer LinkedIn icon & link","","Wed Jan 29 20:57:09 GMT 2025","passed","Wed Jan 29 20:57:11 GMT 2025","","Inventory Page tests suite","",""
"","662","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""","","Wed Jan 29 20:57:05 GMT 2025","passed","Wed Jan 29 20:57:05 GMT 2025","","Inventory Page tests suite","",""
"","1111","Test Case #4 | Check that user can logout","","Wed Jan 29 20:57:05 GMT 2025","passed","Wed Jan 29 20:57:06 GMT 2025","","Login Page tests suite","",""
"","2671","Test Case #5 | Saving cart contents after logout/login","","Wed Jan 29 20:57:02 GMT 2025","passed","Wed Jan 29 20:57:04 GMT 2025","","Cart Page tests suite","",""
"","1869","Test Case #1 | Login with the user valid login and the valid password","","Wed Jan 29 20:57:02 GMT 2025","passed","Wed Jan 29 20:57:04 GMT 2025","","Login Page tests suite","",""
"","10747","Test Case #9 | Checkout without products","","Wed Jan 29 20:57:05 GMT 2025","failed","Wed Jan 29 20:57:16 GMT 2025","","Checkout Page tests suite","",""
"","822","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""","","Wed Jan 29 20:57:04 GMT 2025","passed","Wed Jan 29 20:57:05 GMT 2025","","Inventory Page tests suite","",""
"","2733","Test Case #8 | Valid checkout","","Wed Jan 29 20:57:02 GMT 2025","passed","Wed Jan 29 20:57:05 GMT 2025","","Checkout Page tests suite","",""
"","516","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""","","Wed Jan 29 20:57:05 GMT 2025","passed","Wed Jan 29 20:57:06 GMT 2025","","Inventory Page tests suite","",""
"","806","Test Case #2 | Login with the user valid login and the invalid password","","Wed Jan 29 20:57:04 GMT 2025","passed","Wed Jan 29 20:57:04 GMT 2025","","Login Page tests suite","",""
"","1660","Test Case #7 | Checking footer Facebook icon & link","","Wed Jan 29 20:57:08 GMT 2025","passed","Wed Jan 29 20:57:09 GMT 2025","","Inventory Page tests suite","",""
