"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 14 11:25:23 GMT 2025","Fri Feb 14 11:25:23 GMT 2025","169","","Login functionality: User tries to log in without a username","","","","Given User is located on the main page of saucedemo website",""
"passed","Fri Feb 14 11:25:04 GMT 2025","Fri Feb 14 11:25:05 GMT 2025","1131","","Login Page tests suite","","","","Test Case #4 | Check that user can logout",""
"passed","Fri Feb 14 11:25:04 GMT 2025","Fri Feb 14 11:25:05 GMT 2025","514","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""",""
"passed","Fri Feb 14 11:25:03 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","1013","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""",""
"passed","Fri Feb 14 11:25:09 GMT 2025","Fri Feb 14 11:25:10 GMT 2025","1870","","Inventory Page tests suite","","","","Test Case #7 | Checking footer LinkedIn icon & link",""
"passed","Fri Feb 14 11:25:02 GMT 2025","Fri Feb 14 11:25:03 GMT 2025","1420","","Login Page tests suite","","","","Test Case #1 | Login with the user valid login and the valid password",""
"passed","Fri Feb 14 11:25:03 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","677","","Login Page tests suite","","","","Test Case #2 | Login with the user valid login and the invalid password",""
"passed","Fri Feb 14 11:25:07 GMT 2025","Fri Feb 14 11:25:09 GMT 2025","1672","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Facebook icon & link",""
"passed","Fri Feb 14 11:25:04 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","784","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""",""
"passed","Fri Feb 14 11:25:04 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","566","","Login Page tests suite","","","","Test Case #3 | Login with the user invalid login and the valid password",""
"passed","Fri Feb 14 11:25:05 GMT 2025","Fri Feb 14 11:25:07 GMT 2025","1942","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Twitter icon & link",""
"failed","Fri Feb 14 11:25:23 GMT 2025","Fri Feb 14 11:25:23 GMT 2025","1","","","","","","hook:",""
"passed","Fri Feb 14 11:25:01 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","2445","","Cart Page tests suite","","","","Test Case #5 | Saving cart contents after logout/login",""
"passed","Fri Feb 14 11:25:00 GMT 2025","Fri Feb 14 11:25:04 GMT 2025","3633","","Checkout Page tests suite","","","","Test Case #8 | Valid checkout",""
"passed","Fri Feb 14 11:25:00 GMT 2025","Fri Feb 14 11:25:03 GMT 2025","2359","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""",""
"passed","Fri Feb 14 11:25:23 GMT 2025","Fri Feb 14 11:25:23 GMT 2025","126","","Login functionality: User tries to log in without a username","","","","When User clicks the ""Login"" button",""
"passed","Fri Feb 14 11:25:23 GMT 2025","Fri Feb 14 11:25:23 GMT 2025","44","","Login functionality: User tries to log in without a username","","","","Then User should see ""Epic sadface: Username is required"" error message",""
"failed","Fri Feb 14 11:25:04 GMT 2025","Fri Feb 14 11:25:15 GMT 2025","10933","","Checkout Page tests suite","","","","Test Case #9 | Checkout without products",""
